question,query
"From the following table, write a SQL query to calculate total salary of the departments where at least one employee works. Return department ID, total salary.","SELECT departments.department_id, result1.total_amt FROM departments,( SELECT employees.department_id, SUM(employees.salary) total_amt FROM employees GROUP BY department_id) result1 WHERE result1.department_id = departments.department_id;"
"From the following table, write a SQL query to find those employees who report to that manager whose first name is ‘Payam’. Return first name, last name, employee ID and salary.","SELECT first_name, last_name, employee_id, salary FROM employees WHERE manager_id = (SELECT employee_id FROM employees WHERE first_name = 'Payam' );"
"From the following table, write a SQL query to find those employees who earn the second-lowest salary of all the employees. Return all the fields of employees
.",SELECT * FROM employees m WHERE  2 = (SELECT COUNT(DISTINCT salary ) FROM employees WHERE  salary <= m.salary);
"From the following table, write a SQL query to find those employees whose salaries are higher than the average for all departments. Return employee ID, first name, last name, job ID.","SELECT employee_id, first_name, last_name, job_id FROM employees WHERE salary > ALL ( SELECT AVG(salary) FROM employees GROUP BY department_id );"
"From the following table, write a SQL query to find those employees whose salary is lower than that of employees whose job title is ‘MK_MAN’. Return employee ID, first name, last name, job ID.","SELECT employee_id,first_name,last_name,job_id FROM employees WHERE salary < ANY ( SELECT salary FROM employees WHERE job_id = 'MK_MAN' );"
"From the following table, write a SQL query to find those employees whose salary is lower than that of employees whose job title is ""MK_MAN"". Exclude employees of Job title ‘MK_MAN’. Return employee ID, first name, last name, job ID.","SELECT employee_id,first_name,last_name, job_id FROM employees WHERE salary < ANY ( SELECT salary FROM employees WHERE job_id = 'MK_MAN' ) AND job_id <> 'MK_MAN' ;"
"From the following table, write a SQL query to find those employees whose salary exceeds the salary of all those employees whose job title is ""PU_MAN"". Exclude job title ‘PU_MAN’. Return employee ID, first name, last name, job ID.","SELECT employee_id, first_name, last_name, job_id FROM employees WHERE salary > ALL ( SELECT salary FROM employees WHERE job_id = 'PU_MAN' ) AND job_id <> 'PU_MAN' ;"
"From the following tables, write a SQL query to find those employees who earn more than the average salary and work in the same department as an employee whose first name contains the letter 'J'. Return employee ID, first name and salary.","SELECT employee_id, first_name , salary FROM employees WHERE salary > (SELECT AVG (salary) FROM employees ) AND  department_id IN ( SELECT department_id FROM employees  
WHERE first_name LIKE '%J%');"
"From the following tables, write a SQL query to find those employees who work in a department where the employee’s first name contains the letter 'T'. Return employee ID, first name and last name.","SELECT employee_id, first_name, last_name FROM employees WHERE department_id IN ( SELECT department_id FROM employees WHERE first_name LIKE '%T%' );"
"From the following table, write a SQL query to find those employees who get second-highest salary. Return all the fields of the employees.",SELECT * FROM employees WHERE employee_id IN (SELECT employee_id FROM employees WHERE salary = (SELECT MAX(salary) FROM employees WHERE salary < (SELECT MAX(salary) FROM employees)));
" From the following table, write a SQL query to check whether there are any employees with salaries exceeding 3700. Return first name, last name and department ID.","SELECT first_name, last_name, department_id FROM employees WHERE EXISTS (SELECT * FROM employees WHERE salary >3700 );"
"From the following tables, write a SQL query to find those employees who work in the same department as ‘Clara’. Exclude all those records where first name is ‘Clara’. Return first name, last name and hire date.","SELECT first_name, last_name, hire_date FROM employees WHERE department_id = ( SELECT department_id FROM employees WHERE first_name = 'Clara') AND first_name <> 'Clara';"
"From the following tables, write a SQL query to find those employees who do not work in the departments where managers’ IDs are between 100 and 200 (Begin and end values are included.). Return all the fields of the employees.",SELECT * FROM employees WHERE department_id NOT IN (SELECT department_id FROM departments WHERE manager_id BETWEEN 100 AND 200);
"Write a query to display the employee id, name ( first name and last name ), SalaryDrawn, AvgCompare (salary - the average salary of all employees) and the SalaryStatus column with a title HIGH and LOW respectively for those employees whose salary is more than and less than the average salary of all employees.","SELECT  employee_id,  first_name, last_name,  salary AS SalaryDrawn, ROUND((salary -(SELECT AVG(salary) FROM employees)),2) AS AvgCompare, CASE  WHEN salary >= (SELECT AVG(salary) FROM employees) THEN 'HIGH' ELSE 'LOW' END AS SalaryStatus FROM employees;"
From the following table and write a SQL query to find those employees whose salary falls within the range of the smallest salary and 2500. Return all the fields.,SELECT * FROM employees WHERE salary BETWEEN (SELECT MIN(salary) FROM employees) AND 2500;
"From the following table, write a SQL query to find those employees whose salary is in the range of 1000, and 3000 (Begin and end values have included.). Return all the fields.",SELECT * FROM employees WHERE salary BETWEEN 1000 and 3000;
" From the following tables, write a SQL query to find all those employees who work in the Finance department. Return department ID, name (first name), job ID and department name.","SELECT e.department_id, e.first_name, e.job_id , d.department_name FROM employees e , departments d WHERE e.department_id = d.department_id AND  d.department_name = 'Finance';"
"From the following table, write a SQL query to find the employee whose salary is 3000 and reporting person’s ID is 121. Return all fields.","SELECT * FROM employees WHERE (salary,manager_id)=(SELECT 3000,121);"
"From the following table, write a SQL query to find those employees whose ID matches any of the numbers 134, 159 and 183. Return all the fields.","SELECT * FROM employees WHERE employee_id IN (134,159,183);"
"From the following table, write a SQL query to find those employees whose department is located at ‘Toronto’. Return first name, last name, employee ID, job ID.","SELECT  first_name, last_name, employee_id, job_id FROM employees WHERE department_id = (SELECT department_id FROM departments WHERE location_id = (SELECT location_id 
FROM locations WHERE city ='Toronto'));"
