item,prices,description
ASUS VZ239HR 23 INCH EYE CARE MONITOR ,"18,700৳","ASUS VZ239HR has a space-saving design with an ultra-slim profile that measures a mere 7mm at its thinnest point. Its frameless design makes it perfect for almost-seamless multi-display setups that give you an even greater degree of immersion. An advanced high-performance IPS panel gives you an astonishing 80,000,000:1 contrast ratio and wide 178° viewing angles. In addition, ASUS Eye Care technology ensures a comfortable viewing experience."
ASUS ROG Strix XG43UQ 43 Inch 144Hz 4K UHD HDR DSC FreeSync Gaming Monitor,"190,000৳",
Asus ROG Swift PG259QN 24.5 inch 360Hz IPS G-Sync Gaming Monitor,"100,000৳",
ASUS TUF GAMING VG27AC1A 27 INCH WQHD GAMING MONITOR,"48,700৳","The 27-inch TUF Gaming VG27AC1A WQHD gaming monitor featuring a IPS panel for blistering-fast 170 Hz(overdrive) gaming. ASUS Extreme Low Motion Blur Sync (ELMB Sync) and Nvidia G-Sync compatible and AMD FreeSync™ Premium technologies enables buttery-smooth gaming. In addition, it meets a 130% sRGB color gamut to offer exceptional colors and contrast."
XIAOMI RMMNT30HFCW 30 INCH CURVED GAMING MONITOR ,"32,499৳","The high 200Hz refresh rate for all-round hard core breakthrough power.Take in the whole picture at a glance, as this 21:9 ultra-widescreen monitor with 2560 × 1080 resolution puts you in control.High-resolution picture quality, revealing every breeze and blade of grass in crisp detail.Now you can take the advantage and control the field, grasping enemy movements in advance and planning your moves to match.1800R curvature is better suited to your eyes, producing a more powerful visual impact and immersive experience.Enjoy a truly immersive panoramic view that put you in the middle of the action, and feel the thrill as the battle heats up all around you.The ultra-narrow bezel increases the screen-to-body ratio while reducing visual noise.Combined with a wide 21:9 aspect ratio, the curved screen surrounds you, for an immersive cinematic viewing experience."
ASus ROG Strix XG49VQ 49-inch Super Ultra-Wide HDR 144Hz Gaming Monitor,"140,000৳",
ASUS Proart PA32UC-K 32 Inch 4K IPS Monitor,"190,500৳",
LG 22MK430H-B 22 inch (AMD FreeSync) Full HD IPS LED Display Monitor,"13,249৳",
XIAOMI XMMNT27NU 27 INCH 4K 60HZ MONITOR,"40,999৳","Solid strength in developing specialised monitors .Spark your creativity in image processing.Empowered by 4K ultra HD and a cinematic super-wide color gamut,a monitor for professional design is unveiled.and coupled with the strong expansion capability and multi-dimensional adjustment design,it allows you to express your creativity and unleash your potential in all aspects."
ASUS REPUBLIC OF GAMERS SWIFT PG42UQ 41.5 INCH 4K HDR 138 HZ GAMING MONITOR,"260,000৳","Experience deeply immersive gaming and entertainment experiences with the ROG Swift PG42UQ 41.5"" Monitor from ASUS. Designed for stunning performance, this large display features a 3840 x 2160 4K UHD resolution OLED HDR screen with a 1,500,000:1 max contrast ratio, delivering stunning images with rich shadows and highlights. Additionally, its 138 Hz overclocked refresh rate and 0.1 ms response time help to significantly reduce motion blur from fast action scenes. NVIDIA G-Sync compatibility reduces screen tearing, stuttering, and other artifacts with compatible graphics cards. With this level of performance, the ROG Swift PG42UQ is also an ideal display for creating professional-grade videos, photos, and other content."
Asus ProArt Display PA248QV 24-inch Adaptive-Sync IPS Professional Monitor,"42,000৳",
"ASUS BE229QLBH 21.5"" FULL HD IPS BUSINESS MONITOR","16,200৳","ASUS BE229QLBH business monitor boasts a 21.5-inch FHD (1920x1080) IPS panel with excellent viewing angles. It includes a wide range of connections, including DisplayPort, HDMI, DVI-D, D-sub, Audio in, an earphone jack, and two USB 3.0 ports for optimum adaptability. The monitor's ergonomic design, which allows for height, pivot, tilt, and swivel adjustments, ensures a comfortable viewing experience. For a comfortable viewing experience, flicker-free and low blue light technologies have received TÜV Rheinland Certification. The ergonomically designed stand of the BE229QLBH allows for height, tilt, swivel, and pivot adjustments for a comfortable viewing and operating experience. When working with lengthy documents, coding, or reading websites, the option to rotate the screen 90 degrees clockwise or counterclockwise for portrait mode is useful. The ergonomically designed stand of the BE229QLBH allows for height, tilt, swivel, and pivot adjustments for a comfortable viewing and operating experience."
ASUS BE24EQK 23.8 inch Full HD Webcam Business Monitor ,"33,500৳","Integrated Full HD webcam, mic array and stereo speakers for video conferencing and online learning. 23.8-inch Full HD(1920x1080) frameless IPS panel with wide viewing angles, Extensive connectivity with DisplayPort, HDMI, D-sub, Audio in, and Earphone jack for the most flexibility, ASUS Eye Care monitors feature TÜV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience. Space-saving with VESA-mountable design."
LG UltraGear 34GN850-B 34 inch QHD IPS 160Hz Curved Adaptive-Sync Gaming Monitor,"127,000৳","The UltraGear 34GN850-B 34"" 21:9 Curved 160 Hz Adaptive-Sync HDR IPS Gaming Monitor is made with their Nano IPS (In-Plane Switching) technology featuring wide color coverage and a coffee 1 ms reaction time . As a gaming-focused monitor,LG 34GN850-B Gaming Monitor is also equipped with many useful additions like a quick 160 Hz overclocked refresh rate when using DisplayPort, AMD FreeSync support, and NVIDIA G-SYNC compatibility. Specs-wise, it's a 3440 x 1440 resolution, a 1000:1 static contrast ratio, a 400 cd/m² brightness rating, and support for up to 1.07 billion colors. Connect LG 34GN850-B Gaming Monitor to your system via HDMI or DisplayPort and adjust its versatile stand to best suit your viewing preference. Users also can install an optional VESA mount, stand, or arm if needed."
XIAOMI REDMI RMMNT27NQ 27 INCH 2K 60HZ IPS MONITOR,"22,499৳","This Redmi display uses a 27-inch IPS panel, 2560 × 1440 resolution, 60 Hz refresh rate, 178 ° viewing angle, 8-bit native color depth, 300 nits maximum brightness, a ratio contrast ratio of 1000: 1 and a GTG response time of 6 ms. Supports DC dimming and global low blue light mode. The 27-inch Redmi 2K display adopts a three-sided narrow bezel design, a black body, and is 7.5mm thick. The base stand only supports tilt angle adjustment. The back of the body is equipped with a Function Button that supports operations such as on / off and direction selection. The interface is equipped with 1 HDMI 1.4, 1 VGA interface, 1 audio interface, and 1 DC power interface, and the power input power is 36W."
LG ULTRAFINE 32EP950-B 31.5 INCH 4K HDR OLED MONITOR,"432,000৳","Designed for creative professionals the LG UltraFine 32EP950-B 31.5"" 16:9 4K HDR OLED Monitor, delivers exceptional color accuracy alongside a variety of connectivity options to support your video editing workflow. Supporting a 3840 x 2160 resolution at 60 Hz, this 4K OLED monitor delivers deliver vibrant colors with high-dynamic range, covering 99% of the DCI-P3 and Adobe RGB spectrums. At the same time, Pixel Dimming technology adjusts the brightness of each individual pixel to express near perfect contrast. With a 1 million:1 contrast ratio, nearly all the colors and visuals editors intend may be represented. Connect the UltraFine 32EP950-B to your workstation using the HDMI or DisplayPort inputs. Alternatively, you can transfer video, audio, data, and up to 90W of power over a single USB Type-C cable with compatible laptops. Other features include a 250 cd/m² brightness and an integrated USB 3.1 Gen 1 hub that allows you to quickly connect peripherals such as keyboards, mice, and flash drives through the monitor."
Xiaomi Mi 34 Inch 144Hz FreeSync Curved Monitor,"39,999৳",
"Xiaomi Redmi 1A 23.8"" Full HD Monitor","12,799৳",
LG UltraWide 34WP65C-B 34 inch WQHD 160Hz Curved AMD FreeSync Gaming Monitor,"69,999৳","Enjoy liquid-smooth gaming experiences and enhanced productivity with the LG UltraWide 34WP65C-B.AUS 34"" 21:9 Curved FreeSync 160 Hz WQHD HDR VA Gaming Monitor. LG 34WP65C-B Gaming Monitor featuring a curved design and 178° horizontal and vertical viewing angles, this 3840 x 1440 WQHD resolution widescreen monitor is formed to completely immerse you in entertainment and boost your multitasking efficiency by filling your field of view. LG 34WP65C-B Gaming Monitors 160 Hz refresh rate works with the 1 ms Motion Blur Reduction (MBR) reaction time to supply exceptionally fast graphics while AMD FreeSync Premium technology helps reduce screen tearing, stuttering, and other artifacts during high-action sequences with compatible graphics cards. Additionally, high-dynamic range color support brings realistically bright highlights and deep shadows to your games, photos, and videos. The high-quality visuals are complemented by the integrated MaxxAudio-enhanced stereo loudspeaker . The slim bezel design helps to stay you focused on the screen, which may be quickly installed onto the adjustable 1-click stand. Built-in blue diffusing screen and flicker free technologies help to scale back eyestrain during lengthy gaming marathons."
Xiaomi Redmi RMMNT27NF 27 inch Full HD IPS Monitor,"16,499৳",
Samsung LF22T350 22-inch Flat IPS Border-less Monitor ,"13,999৳","Minimize distractions with a minimalistic design. The 3-sided borderless design helps every working space become neat and modern. Seamlessly deliver any content seamlessly, allowing for superior focus, even with multi-monitor setups at the same time."
LG 27MP400-B 27 Inch Full HD IPS Monitor,"25,000৳",
LENOVO THINKVISION S27e-20-IPS FHD MONITOR,"22,299৳","Bring virtually edgeless screen space to your workstation with the S27e-20 27"" 16:9 IPS Monitor from Lenovo. Sporting a 27"" In-Plane Switching (IPS) panel, this monitor provides a 1920 x 1080 resolution. The NearEdgeless bezels measure just 0.1"", emphasizing on-screen content for heightened immersion and focus. Plus, when used in multi-monitor setups, these thin bezels enable a virtually seamless view. A 1000:1 static contrast ratio and support for 16.7 million colors ensure crisp and accurate colors, while the 4 ms (Overdrive) response time, 60 Hz refresh rate, and AMD FreeSync support allow for smooth frames."
LG 34WK95U 34 inch 21:9 UltraWide HDR Support Nano IPS 5K Nano IPS LED Monitor,"170,000৳",
LG 27GP850-B 27 Inch UltraGear QHD 165Hz G-SYNC IPS Gaming Monitor,"60,800৳",
LG 22MK600M 22 inch IPS Borderless Full HD Monitor,"14,499৳",
LENOVO THINKVISION E24-28 23.8 INCH FULL HD MONITOR,"20,600৳","New-generation employees demand monitors with a sharp resolution, picture clarity, and which are comfortable to use. With its 23.8-inch display, With 3-side NearEdgeless and In-Plane Switching panel, the ThinkVision E24-28 is positioned as an everyday workhorse. An array of ports like HDMI, DP, and VGA offers versatile connectivity. Ergonomic design, with a broad lift, tilt, and pivot and swivel range of ± 360°, enhances user comfort and productivity, making it a smart choice for offices."
LG 49WL95C-W 49 INCH CURVED ULTRAWIDE HDR IPS MONITOR,"163,000৳","The 49WL95C-W 49"" 32:9 Curved UltraWide HDR IPS Monitor from LG is essentially two 27"" 1440p QHD monitors stitched together without the distracting bezel in the middle for seamless multitasking. Built with a curved IPS (In-Plane Switching) panel, it wraps around your field of view and provides you with wide viewing angles and vivid colors. Specs-wise, it features a 5120 x 1440 resolution, a 1000:1 static contrast ratio, a 350 cd/m² brightness rating, and support for up to 1.07 billion colors. Connect it to your system or systems via HDMI, DisplayPort, or even USB Type-C and adjust its versatile stand to best fit your viewing preference."
LENOVO THINKVISION E24Q-20 23.8 INCH 16:9 QHD 2k IPS MONITOR,"26,800৳","Stay productive and comfortable with the Lenovo ThinkVision E24q-20 23.8"" 16:9 QHD IPS Monitor. Built to smoothly handle everyday business tasks, this 2560 x 1440 resolution monitor includes a thin 2mm side bezel design that helps to keep you focused on the screen while making it ideal for multi-screen configurations. Simply connect the monitor to your system using the HDMI 1.4 and DisplayPort 1.2 inputs to get started. With its integrated stereo speakers, the ThinkVision E24q-20 allows you to participate in conference calls, in addition to listening to music and videos, without having to clutter your desktop with external speakers. The fully adjustable stand and TÜV Rheinland certified blue-light-reducing and flicker-free technologies help provide comfortable viewing during extended use."
LG 38GN950-B 38 inch UltraGear 144Hz WQHD Curved Nano IPS Gaming Monitor,"170,000৳",
Lenovo ThinkVision S22e-20 21.5 inch Monitor,"13,000৳","ThinkVision S22e-20 the 54.6cms (21.5), FHD resolution, VA panel display gives users the fine detail they need while working out the small print on long contracts or inputting data for long periods. With 3-side NearEdgeless design, more of the monitor is dedicated to the screen with bulky bezels trimmed down to the minimum, allowing you to create a cleaner experience. With HDMI 1.4 or VGA options, you can choose how to connect PCs, laptops. And with Audio Out, your staff can plug in headphones while dropping movies into PowerPoint presentations without disturbing teammates. Getting the right tools for staff also means managing their comfort and well-being. That’s why S22e-20 has TÜV Rheinland Low Blue Light certification, meaning it cuts down harmful blue wavelengths that can lead to eye fatigue. And with an ENERGY STAR rating of 8.0, you can be sure it’s also working hard for your energy efficiency."
LENOVO G34w-10 -VA WLED ULTRA-WIDE WQHD 2K 34 INCH 144 HZ CURVED GAMING MONITOR,"53,499৳","Immerse yourself in liquid-smooth graphics in your favorite virtual worlds with the G34w-10 34"" 1440p 144 Hz Curved Gaming Monitor from Lenovo. Colors appear vivid and bright thanks to support for 16.7 million colors and 350 nits of brightness. Increase your productivity and efficiency when performing tasks such as video editing thanks to the extra viewing area that comes along with this monitor's extra-wide 21:9 aspect ratio and 1500R curvature. With a 1 ms response time and 144 Hz refresh rate, you'll have smooth gameplay and minimal ghosting when playing fast-paced games. This monitor also features AMD FreeSync Premium which allows your monitor's refresh rate to be synced with compatible graphics cards to minimize screen tearing and stuttering while gaming."
LENOVO THINKVISION E20-30 TN 60HZ 19.5 INCH MONITOR ,"9,700৳",Working in a modern-day office is all about staying connected and comfortable. And that is exactly what the 
LENOVO THINKVISION E22-28 22 INCH FULL HD 60HZ MONITOR,"15,000৳","Featuring flexible connectivity options, the ThinkVision 21.5"" Monitor is a business-oriented monitor from Lenovo with a 16:9 aspect ratio for wide viewing angles and a sturdy stand. Featuring a Full HD 1920 x 1080 native resolution at 60 Hz, this monitor displays clear and accurate images with support for 16.7 million colors and a static contrast ratio of 1000:1. Included with the monitor is an agronomical stand that allows you to adjust the tilt, height, pivot, and swivel to your own needs for a comfortable viewing experience.One Of The Budget Friendly Monitor In Bangladesh.Best Design For Your Office Or Your Personal Use.Buy Now And Get Exclusive Discount From TECHLANDBD. Some Best Monitor For Your :"
LG 28MQ780-B 28 INCH 16:18 DUALUP MONITOR WITH ERGO STAND ,"90,999৳","Free up desk space and multitask more efficiently with a new, 16:18 aspect ratio stacked setup that swivels, freeing up your desk without giving up the screen space of a double monitor."
LENOVO G27q-20 -IPS 2k 27-INCH GAMING MONITOR,"42,999৳","Lenovo G27q-20 brings games to the screen the way they were meant to be seen. In fact, you could almost say it brings them to life with a 27-inch, 2560 x 1440 QHD resolution In-Plane Switching panel display that delivers crystal-clear detail and true-to-life lighting that shine out at 400 cd/m² thanks to HDR decoding1 that recreates the original image in real time."
LENOVO G24-20 24 INCH FHD IPS MONITOR,"22,800৳","As an E-sports player, your arsenal of devices must be power-packed and rigged up with superior technology. Equipped for competitive gaming, the Lenovo G24-20 takes gaming performance to the next level. The screen size of 23.8-inch, ideal for E-sports, with a 3-side NearEdgeless display that lets you engage in gaming distraction-free. Your skills and reflexes are backed by the superfast 144 Hz refresh rate, overclock to 165 Hz along with 0.5ms MPRT and AMD FreeSync™ Premium technology - to ensure no target misses due to latency or screen tearing and stuttering. Nothing escapes your eye on the battlefield with an In-Plane Switching panel, 99% sRGB color gamut, and 350 nits brightness that offer minute details and vivid display performance. What’s more, get more control over your G24-20 monitor with exclusive Lenovo Artery software that lets you tweak display settings to further your game. Delivering an enriching experience, the Lenovo G24-20 gaming monitor significantly reduces lags and slowdowns, enabling ultra-smooth gameplay in every frame."
ASUS VP249QGR Gaming 24 inch 144HZ FreeSync FHD IPS Monitor,"26,000৳","The ASUS VP249QGR gaming display is built for victory in the professional gaming arena. With its Full HD IPS panel, 144Hz refresh rate with Adaptive-Sync (FreeSync) and 1ms MPRT for super-smooth gaming visual, it blurs the line between what's virtual and what's real to draw you into truly immersive gaming worlds. It even includes gamer-centric features like ASUS GamePlus technologies to take your gaming experience to a whole new level."
LENOVO G27-20 27 INCH 144 HZ IPS FHD MONITOR,"32,800৳","As an E-sports player, your arsenal of devices must be power-packed and rigged up with superior technology. Equipped for competitive gaming, the Lenovo G27-20 takes gaming performance to the next level. A screen size of 23.8-inch, ideal for E-sports, with 3-side NearEdgeless display lets you engage in gaming distraction-free. Your skills and reflexes are backed by the superfast 144 Hz refresh rate, overclock to 165 Hz along with 0.5ms MPRT and AMD FreeSync™ Premium technology - to ensure no target misses due to latency or screen tearing and stuttering. Nothing escapes your eye on the battlefield with In-Plane Switching panel, 99% sRGB colour gamut, and 350 nits brightness that offer minute details and a vivid display performance. What’s more, get more control over your G27-20 monitor with exclusive Lenovo Artery software that lets you tweak display settings to further your game. Delivering an enriching experience, the Lenovo G27-20 gaming monitor significantly reduces lags and slowdowns, enabling ultra-smooth gameplay in every frame."
Lenovo D19-10 18.5 Inch WLED HD Monitor,"9,800৳",
BenQ GW2280 22 Inch LED backlight Eye Care Stylish Monitor,"13,600৳",
ASUS VG258QR 24.5 INCH Full HD 165Hz Gaming Monitor,"30,000৳",
